model_id,model_design,seed,constant_alpha,constant_IFR,constant_R0,double_IFR_0,half_alpha_0,half_R0_0,half_S_0,max_t,use_seroprev,use_tests
105,27,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,TRUE
106,27,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,TRUE
107,27,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,TRUE
108,27,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,TRUE
109,28,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,TRUE
110,28,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,TRUE
111,28,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,TRUE
112,28,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,TRUE
113,29,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,FALSE,TRUE
114,29,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,FALSE,TRUE
115,29,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,FALSE,TRUE
116,29,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,FALSE,TRUE
117,30,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,TRUE
118,30,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,TRUE
119,30,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,TRUE
120,30,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,TRUE
121,31,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,TRUE
122,31,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,TRUE
123,31,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,TRUE
124,31,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,TRUE
125,32,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,TRUE
126,32,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,TRUE
127,32,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,TRUE
128,32,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,TRUE
129,33,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,TRUE
130,33,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,TRUE
131,33,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,TRUE
132,33,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,TRUE
133,34,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,TRUE
134,34,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,TRUE
135,34,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,TRUE
136,34,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,TRUE
137,35,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,FALSE,TRUE
138,35,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,FALSE,TRUE
139,35,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,FALSE,TRUE
140,35,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,FALSE,TRUE
141,36,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,TRUE
142,36,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,TRUE
143,36,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,TRUE
144,36,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,TRUE
145,37,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,TRUE
146,37,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,TRUE
147,37,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,TRUE
148,37,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,TRUE
149,38,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,TRUE
150,38,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,TRUE
151,38,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,TRUE
152,38,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,TRUE
153,39,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,TRUE
154,39,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,TRUE
155,39,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,TRUE
156,39,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,TRUE
157,40,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,TRUE,TRUE
158,40,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,TRUE,TRUE
159,40,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,TRUE,TRUE
160,40,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,TRUE,TRUE
161,41,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,TRUE
162,41,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,TRUE
163,41,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,TRUE
164,41,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,TRUE
165,42,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,TRUE,TRUE
166,42,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,TRUE,TRUE
167,42,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,TRUE,TRUE
168,42,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,TRUE,TRUE
169,43,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,TRUE
170,43,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,TRUE
171,43,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,TRUE
172,43,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,TRUE
173,44,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,TRUE,TRUE
174,44,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,TRUE,TRUE
175,44,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,TRUE,TRUE
176,44,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,TRUE,TRUE
177,45,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,FALSE,TRUE
178,45,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,FALSE,TRUE
179,45,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,FALSE,TRUE
180,45,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,FALSE,TRUE
181,46,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,TRUE,TRUE
182,46,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,TRUE,TRUE
183,46,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,TRUE,TRUE
184,46,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,TRUE,TRUE
185,47,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,TRUE,FALSE
186,47,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,TRUE,FALSE
187,47,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,TRUE,FALSE
188,47,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,TRUE,FALSE
189,48,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,TRUE,FALSE
190,48,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,TRUE,FALSE
191,48,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,TRUE,FALSE
192,48,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,TRUE,FALSE
193,49,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,TRUE,FALSE
194,49,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,TRUE,FALSE
195,49,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,TRUE,FALSE
196,49,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,TRUE,FALSE
197,50,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,FALSE
198,50,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,FALSE
199,50,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,FALSE
200,50,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,FALSE
201,51,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,TRUE,FALSE
202,51,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,TRUE,FALSE
203,51,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,TRUE,FALSE
204,51,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,TRUE,FALSE
205,52,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,TRUE,FALSE
206,52,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,TRUE,FALSE
207,52,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,TRUE,FALSE
208,52,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,TRUE,FALSE
209,53,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,TRUE,FALSE
210,53,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,TRUE,FALSE
211,53,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,TRUE,FALSE
212,53,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,TRUE,FALSE
213,54,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,TRUE,FALSE
214,54,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,TRUE,FALSE
215,54,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,TRUE,FALSE
216,54,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,TRUE,FALSE
217,55,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,TRUE,FALSE
218,55,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,TRUE,FALSE
219,55,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,TRUE,FALSE
220,55,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,TRUE,FALSE
221,56,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,TRUE,FALSE
222,56,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,TRUE,FALSE
223,56,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,TRUE,FALSE
224,56,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,TRUE,FALSE
225,57,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,TRUE,FALSE
226,57,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,TRUE,FALSE
227,57,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,TRUE,FALSE
228,57,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,TRUE,FALSE
229,58,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,FALSE
230,58,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,FALSE
231,58,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,FALSE
232,58,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,TRUE,FALSE
233,59,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,FALSE
234,59,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,FALSE
235,59,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,FALSE
236,59,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,TRUE,FALSE
237,60,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,FALSE
238,60,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,FALSE
239,60,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,FALSE
240,60,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,TRUE,FALSE
241,61,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,FALSE
242,61,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,FALSE
243,61,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,FALSE
244,61,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34,TRUE,FALSE
245,62,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,FALSE
246,62,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,FALSE
247,62,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,FALSE
248,62,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,TRUE,FALSE
249,63,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,FALSE
250,63,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,FALSE
251,63,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,FALSE
252,63,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,TRUE,FALSE
253,64,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,FALSE
254,64,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,FALSE
255,64,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,FALSE
256,64,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,TRUE,FALSE
257,65,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,FALSE
258,65,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,FALSE
259,65,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,FALSE
260,65,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,TRUE,FALSE
261,66,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,TRUE,FALSE
